Frequency,Power / dBm,paBias
475700,23,900
475700,20,284
475700,17,206
475700,13,136
475700,10,96
475700,7,63.5
1000000,23,259
1000000,20,164
1000000,17,118
1000000,13,71
1000000,10,41
1000000,7,15.5
1838100,23,210
1838100,20,137
1838100,17,95
1838100,13,51
1838100,10,23.5
1838100,7,0
3594100,23,242
3594100,20,168
3594100,17,115
3594100,13,65
3594100,10,35.5
3594100,7,10
5288700,23,274
5288700,20,192
5288700,17,135
5288700,13,79.5
5288700,10,47
5288700,7,20
7040100,23,287
7040100,20,198.5
7040100,17,138.5
7040100,13,82
7040100,10,49.5
7040100,7,22
10140200,23,294
10140200,20,192.5
10140200,17,127
10140200,13,71
10140200,10,39
10140200,7,12.5
14000800,23,414
14000800,20,242
14000800,17,153
14000800,13,84
14000800,10,48
14000800,7,19.5
14097100,23,420
14097100,20,242
14097100,17,153
14097100,13,84
14097100,10,48
14097100,7,19.5
475700,23,900
500000,23,850
550000,23,590
600000,23,450
700000,23,346
800000,23,305
900000,23,276
1000000,23,259
1100000,23,246
1200000,23,235
1300000,23,227
1400000,23,220
1500000,23,215
1600000,23,212
1700000,23,210
7000000,23,289
8000000,23,300
9000000,23,282
10000000,23,293
11000000,23,328
12000000,23,370
13000000,23,392
7000000,17,138
8000000,17,145
9000000,17,133.5
10000000,17,127.5
11000000,17,130
12000000,17,140
13000000,17,150
