Extra data points, currently unused since they would mess up the new interpolation (since interpolation is by power first then frequency, and there are not enough different power measurements at these frequencies)
Freq,Bias,Power/dBm,Clk gen drive strength
500000,850,23,3
550000,590,23,3
600000,450,23,3
700000,346,23,3
800000,305,23,3
900000,276,23,3
1000000,259,23,3
1100000,246,23,3
1200000,235,23,3
1300000,227,23,3
1400000,220,23,3
1500000,215,23,3
1600000,212,23,3
1700000,210,23,3
7000000,289,23,3
8000000,300,23,3
9000000,282,23,3
10000000,293,23,3
11000000,328,23,3
12000000,370,23,3
13000000,392,23,3
7000000,138,17,3
8000000,145,17,3
9000000,133.5,17,3
10000000,127.5,17,3
11000000,130,17,3
12000000,140,17,3
13000000,150,17,3
